GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
,br.com.vittasync.vittasync.DTO,PacienteResumoDTO,0,46,0,0,0,20,0,10,0,10
,br.com.vittasync.vittasync.DTO,RedefinirSenhaDTO,0,17,0,0,0,5,0,5,0,5
,br.com.vittasync.vittasync.DTO,VinculoOutputDTO,0,52,0,0,0,22,0,15,0,15
,br.com.vittasync.vittasync.DTO,SinaisVitaisInputDTO,0,66,0,0,0,19,0,19,0,19
,br.com.vittasync.vittasync.DTO,UsuarioUpdateDTO,0,52,0,0,0,15,0,15,0,15
,br.com.vittasync.vittasync.DTO,ConviteVinculoOutputDTO,0,24,0,0,0,11,0,7,0,7
,br.com.vittasync.vittasync.DTO,HabitosInputDTO,0,38,0,0,0,11,0,11,0,11
,br.com.vittasync.vittasync.DTO,ArquivoMedicoInputDTO,0,17,0,0,0,5,0,5,0,5
,br.com.vittasync.vittasync.DTO,DiarioSintomasOutputDTO,0,45,0,0,0,13,0,13,0,13
,br.com.vittasync.vittasync.DTO,ContatoEmergenciaInputDTO,0,17,0,0,0,5,0,5,0,5
,br.com.vittasync.vittasync.DTO,LembreteMedicaoInputDTO,0,38,0,0,0,11,0,11,0,11
,br.com.vittasync.vittasync.DTO,ContatoEmergenciaOutputDTO,0,38,0,0,0,11,0,11,0,11
,br.com.vittasync.vittasync.DTO,CanalNotificacaoDTO,0,10,0,0,0,3,0,3,0,3
,br.com.vittasync.vittasync.DTO,GerarConviteDTO,10,0,0,0,5,0,3,0,3,0
,br.com.vittasync.vittasync.DTO,HabitosOutputDTO,0,45,0,0,0,13,0,13,0,13
,br.com.vittasync.vittasync.DTO,VinculoInputDTO,0,17,0,0,0,8,0,5,0,5
,br.com.vittasync.vittasync.DTO,SolicitarRedefinicaoDTO,0,17,0,0,0,5,0,5,0,5
,br.com.vittasync.vittasync.DTO,LembreteMedicaoOutputDTO,0,39,0,0,0,14,0,7,0,7
,br.com.vittasync.vittasync.DTO,EventoPacienteOutputDTO,0,80,0,0,0,34,0,23,0,23
,br.com.vittasync.vittasync.DTO,EnviarConviteDTO,0,17,0,0,0,8,0,5,0,5
,br.com.vittasync.vittasync.DTO,UsuarioOutputDTO,0,80,0,0,0,23,0,23,0,23
,br.com.vittasync.vittasync.DTO,ArquivoMedicoOutputDTO,0,59,0,0,0,25,0,17,0,17
,br.com.vittasync.vittasync.DTO,DiarioSintomasInputDTO,0,38,0,0,0,11,0,11,0,11
,br.com.vittasync.vittasync.DTO,UsuarioInputDTO,0,80,0,0,0,23,0,23,0,23
,br.com.vittasync.vittasync.DTO,LoginDTO,0,24,0,0,0,7,0,7,0,7
,br.com.vittasync.vittasync.DTO,SinaisVitaisOutputDTO,0,73,0,0,0,21,0,21,0,21
,br.com.vittasync.vittasync.Util,HashUtil,10,53,0,4,3,8,1,3,1,1
,br.com.vittasync.vittasync.Util,FuncoesSaude,3,8,0,0,1,1,1,1,1,1
,br.com.vittasync.vittasync.Util,FuncoesResponsavel,3,8,0,0,1,1,1,1,1,1
,br.com.vittasync.vittasync.Service,SessaoService,0,80,0,6,0,20,0,8,0,5
,br.com.vittasync.vittasync.Service,VinculoService,526,199,43,3,82,44,44,6,22,5
,br.com.vittasync.vittasync.Service,SmsService,58,12,0,0,21,4,3,3,3,3
,br.com.vittasync.vittasync.Service,LembreteMedicaoService,0,73,0,0,0,20,0,8,0,8
,br.com.vittasync.vittasync.Service,PermissaoService,2,97,2,12,1,23,2,12,0,7
,br.com.vittasync.vittasync.Service,SinaisVitaisService,5,147,0,2,1,37,1,7,1,6
,br.com.vittasync.vittasync.Service,EventoPacienteService,2,170,2,6,2,58,2,9,0,7
,br.com.vittasync.vittasync.Service,HabitosService,5,128,0,2,1,34,1,7,1,6
,br.com.vittasync.vittasync.Service,EventoClinicoService,30,215,6,20,6,67,6,20,0,13
,br.com.vittasync.vittasync.Service,JwtService,0,63,0,0,0,20,0,6,0,6
,br.com.vittasync.vittasync.Service,NotificacaoService,0,88,0,7,0,31,0,8,0,3
,br.com.vittasync.vittasync.Service,ArquivoMedicoService,5,120,0,2,0,31,1,8,1,7
,br.com.vittasync.vittasync.Service,EmailService,0,80,0,0,0,25,0,4,0,4
,br.com.vittasync.vittasync.Service,ContatoEmergenciaService,5,136,1,9,1,29,1,11,0,7
,br.com.vittasync.vittasync.Service,AuthService,0,109,0,2,0,44,0,6,0,5
,br.com.vittasync.vittasync.Service,CodigoVerificacaoService,0,87,0,0,0,21,0,5,0,5
,br.com.vittasync.vittasync.Service,DiarioSintomasService,5,131,0,2,1,35,1,7,1,6
,br.com.vittasync.vittasync.Service,UsuarioService,3,136,0,4,2,30,0,15,0,13
,br.com.vittasync.vittasync.Controller,SinaisVitaisController,12,299,3,5,3,90,3,7,0,6
